                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.0344,                 1.0445,                 1.0267,                0.99321,                      1,                  0.995,                0.52434,                 1.6436,                0.90473,                 1.1822,                0.00101,                0.00101,                0.00101
                     52,                 1.0431,                 1.1189,                 1.0488,                0.99374,                      1,                  0.995,                 0.4997,                 1.5627,                0.91547,                  1.167,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0524,                 1.0454,                 1.0487,                0.99374,                      1,                  0.995,                 0.4997,                 1.5627,                0.91547,                  1.167,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1714,                 1.0263,                 1.0391,                0.99442,                      1,                  0.995,                0.54198,                 1.3914,                0.79597,                 1.0876,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0414,                 0.9734,                0.99451,                0.99476,                      1,                  0.995,                 0.6493,                 1.1098,                0.69984,                 1.0019,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0618,                 1.0292,                0.97216,                0.99476,                      1,                  0.995,                 0.6493,                 1.1098,                0.69984,                 1.0019,               0.000911,               0.000911,               0.000911
                     57,                0.92121,                0.94302,                 1.0052,                0.99459,                      1,                  0.995,                0.66206,                 1.0753,                0.65901,                 1.0011,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1156,                 1.1401,                  1.024,                  0.994,                      1,                  0.995,                0.61021,                 1.1833,                 0.7267,                  1.027,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.9924,                0.97777,                0.97771,                  0.994,                      1,                  0.995,                0.61021,                 1.1833,                 0.7267,                  1.027,              0.0008516,              0.0008516,              0.0008516
                     60,                0.95951,                0.94296,                0.98725,                0.99375,                      1,                  0.995,                0.67111,                 1.1219,                 0.6768,                 1.0301,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0622,                 1.0813,                  1.026,                0.99362,                      1,                  0.995,                  0.608,                 1.2072,                0.73691,                 1.0494,               0.000812,               0.000812,               0.000812
                     62,                 0.9539,                0.97779,                0.98553,                0.99362,                      1,                  0.995,                  0.608,                 1.2072,                0.73691,                 1.0494,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0259,                0.97266,                 1.0238,                0.99381,                      1,                  0.995,                0.54547,                 1.4005,                0.79864,                 1.1081,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.116,                0.96826,                  1.021,                0.99397,                      1,                  0.995,                0.58255,                 1.2408,                0.72652,                 1.0454,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0139,                0.96626,                0.95741,                0.99397,                      1,                  0.995,                0.58255,                 1.2408,                0.72652,                 1.0454,              0.0007328,              0.0007328,              0.0007328
                     66,                0.96743,                0.93561,                0.94583,                0.99363,                      1,                  0.995,                0.59327,                 1.1774,                0.71702,                0.99773,               0.000713,               0.000713,               0.000713
                     67,                 1.0457,                0.90814,                 1.0207,                 0.9938,                      1,                  0.995,                0.58277,                 1.4019,                0.74599,                 1.0339,              0.0006932,              0.0006932,              0.0006932
